11|Cutie Mark Crusaders Song|We are the Cutie Mark Crusaders...  -a-...Never stop the journey...  -a-They all say that you will get your mark -a-When the time is really right -a-And you know just what you're supposed to do -a- And your talent comes to light! -a-Look, here, are three little ponies, -a-Ready to sing for this crowd, -a-Listen up, 'cause here's our story -a-I'm gonna sing it -a-Very loud! -a-When you're a younger pony -a-And your flank is very bare -a-Feels like the sun will never come -a-When your cutie mark's not there -a-So the three of us will fight the fight -a-There is nothing that we fear -a-We'll have to figure out what we'll do next -a-'Til our cutie marks are here! -a-We are the Cutie Mark Crusaders -a-On a quest to find out who we are -a-And we will never stop the journey -a-Not until we have our cutie marks -a-They all say that you'll get your mark -a-When the time is really right -a-And you know just what you're supposed to do -a-And your talent comes to light -a-But it's not as easy as it sounds -a-And that waiting's hard to do -a-So we test our talents everywhere -a-Until our face is blue -a-We are the Cutie Mark Crusaders -a-On a quest to find out who we are -a-And we will never stop the journey -a-Not until we have our cutie marks -a-We are the Cutie Mark Crusaders -a-On a quest to find out who we are -a-And we will never stop the journey |1|18
12|You Got to Share, You Got to Care|We may be divided -a-But of you all, I beg -a-To remember we're all hoofed -a-At the end of each leg -a-No matter what the issue -a-Come from wherever you please -a-All this fighting gets you nothing -a-But hoof-and-mouth disease -a-Arguing's not the way -a-Hey, come out and play! -a-It's a shiny, new day -a-So, what do you say? -a-You gotta share -a-You gotta care -a-It's the right thing to do -a-You gotta share -a-You gotta care -a-And there'll always be a way through -a-Both our diets, I should mention -a-Are completely vegetarian -a-We all eat hay and oats -a-Why be at each other's throat? -a-You gotta share -a-You gotta care -a-It's the right thing to do -a-And there'll always be a way -a-Throoooough! -a-–what do you say? -a-You gotta share -a-You gotta care |1|21
13|So Many Wonders|What is this place -a-Filled with so many wonders? -a-Casting its spell -a-That I am now under -a-Squirrels in the trees -a-And the cute little bunnies -a-Birds flying free -a-And bees with their honey -a-Hooooonneeeeeeey! -a-Oooh, what a magical place -a-And I owe it all to the Pegasus race -a-If I knew the ground had so much up its sleeve  -a-I'd have come here sooner, and never leave |1|23
14|Pinkie Pie's Singing Telegram|This is your singing telegram -a-I hope it finds you well -a-You're invited to a party -a-'Cause we think you're really swell -a-Gummy's turning one year old -a-So help us celebrate -a-The cake will be delicious -a-The festivities first-rate -a-There will be games and dancing -a-Bob for apples, cut a rug  -a-And when the party's over -a-We'll gather 'round for a group hug -a-No need to bring a gift -a-Being there will be enough -a-Birthdays mean having fun with friends -a-Not getting lots of stuff -a-It won't be the same without you -a-So we hope that you say yes -a-So, please, oh please R.S.V.P. |1|25
15|At the Gala|At the Gala -a-At the Gala -a-At the Gala -a-In the garden -a-I'm going to see them all -a-All the creatures -a-I'll befriend them at the Gala -a-At the Gala -a-All the birdies -a-And the critters -a-They will love me big and small -a-We'll become good friends forever -a-Right here at the Gala! -a-All our dreams will come true -a-Right here at the Gala -a-At the Gala -a-At the Gala  -a-I will sell them  -a-All my appletastic treats  -a-Hungry ponies  -a-They will buy them  -a-Caramel apples, apple sweets  -a-And I'll earn a lot of money -a-for the Apple family! -a-All our dreams and our hopes from now until hereafter -a-All that we've been wishing for will happen at the Gala -a-At the Gala -a-At the Gala -a-All the royals -a-They will meet fair Rarity -a-They will see I'm just as regal at the Gala -a-At the Gala -a-I will find him -a-My Prince Charming -a-And how gallant he will be -a-He will treat me like a lady -a-Tonight at the Gala! -a-This is what we've waited for to have the best night ever -a-Each of us will live our dreams -a-Tonight at the Gala -a-At the Gala -a-Been dreamin' -a-I've been waitin' -a-To fly with those great ponies -a-The Wonderbolts, their daring tricks -a-Spinning 'round and having kicks -a-Perform for crowds of thousands -a-They'll shower us with diamonds -a-The Wonderbolts will see me right here at the Gala! -a-All we've longed for -a-All we've dreamed -a-Our happy ever after -a-Finally will all come true -a-Right here at the Grand Gala -a-At the Gala -a-I am here at the Grand Gala -a-For it is the best party -a-But the one thing it was missing was a pony named Pinkie -a-For I am the best at parties, all the ponies will agree -a-Ponies playing -a-Ponies dancing -a-With me at the Grand Gala! -a-Happiness and laughter at the Gala -a-At the Gala -a-At the Gala  -a-With the Princess  -a-Is where I'm going to be  -a-We will talk all about magic and what I've learned and seen  -a-It is going to be so special -a-And she takes time just for me -a-Into the Gala we must go -a-We're ready now, we're all aglow -a-Into the Gala, let's go in and have the best night ever -a-Into the Gala, now's the time -a-We're ready and we look divine! -a-Into the Gala -a-Meet new friends -a-Into the Gala -a-Sell some apples -a-Into the Gala -a-Find my Prince -a-Prove I'm great -a-As a Wonderbolt is -a-Into the Gala -a-Into the Gala |1|26
16|I'm at the Grand Galloping Gala|I'm at the Grand Galloping Gala, -a-I'm at the Grand Galloping Gala, -a-I'm at the Grand Galloping Gala, -a-It's all I ever dreamed. -a-It's all I ever dreamed, woo hoo! -a-It's all I ever dreamed, yippee! -a-I'm at the Grand Galloping GalaaaaaaaaaaAAAAAAAAAAAA! |1|26
17|Pony Pokey|You reach your right hoof in -a-You reach your right hoof out -a-You reach your right hoof in -a-And you shake it all about -a-You do the Pony Pokey meeting lots of folks with clout -a-That's what I'm talking about -a-You step your left hoof in -a-You pull it right back out -a-You step your left hoof in -a-But you better help him out -a-You do the Pony Pokey but should find a different route -a-That's what it's all about -a-You kick your back left in -a-You pull your back left out -a-You reach your back left in -a-Just be brave and have no doubt -a-You do the Pony Pokey feeling like you're gonna pout -a-That's what I'm singing about -a-You tilt your head in -a-You tilt your head out -a-You tilt your head in -a-Then you shake it all about -a-You do the Pony Pokey even though your date's a lout -a-You're better off without -a-You stomp your whole self in -a-You stomp your whole self out -a-You stomp your whole self in -a-And you stomp yourself about -a-You do the Pony Pokey and you give a little shout- -a-That's what I'm talking about -a-You do the Pony Pokey -a-You do the Pony Pokey -a-You do the Pony Pokey -a-And that's what it's all about |1|26
18|Find A Pet Song|Now, Rainbow, my dear, I cannot express my delight -a-It's abundantly clear -a-That somewhere out here -a-Is the pet that will suit you just right -a-I can't wait to get started, but first let me set a few rules -a-It's of utmost importance -a-The pet that I get -a-Is something that's awesome and cool -a-I need something real fast like a bullet to keep up with me -a-Sure! How 'bout a bunny? -a-They're cutesy and wootsie and quick as can be -a-Cutesy? Wootsie? Have you even met me? -a-Rainbow, have faith -a-You see, I will bet you -a-Somewhere in here is the pet that will get you -a-I have so many wonderful choices for you to decide -a-There are otters and seals -a-With massive appeal -a-Wait! There must be a pet here -a-That will fit the ticket -a-How 'bout a ladybug, or a cute cricket? -a-I have plenty of wonderful creatures who soar in the sky -a-Like a sweet hummingbird or a giant monarch butterfly -a-I see. How 'bout an owl, or a wasp, or a toucan? -a-There's so many wonderful creatures the likes of that -a-There are falcons and eagles -a-They are both quite regal -a-Or perhaps what you need is a dark and mysterious bat? -a-The bat would be awesome, but the wasp I'm digging too -a-Do you have something in a yellow striped bat? -a-What to do, what to do?  -a-A prize! That's it! There's really just one way -a-To find out which animal's best -a-Hold a contest of speed, agility, and guts -a-That will put each pet to the test -a-Don't forget style, that should be considered -a-Then we'll know for sure who's best of the litter -a-The one who is awesomest cool -a-Just like me -a-Can't settle for less, 'cause I'm the best -a-Who's the number one, greatest, perfectest pet -a-May the games begin ! |2|7
19|Becoming Popular|I'll be the toast of the town, the girl on the go -a-I'm the type of pony every pony, every pony should know -a-I'll be the one to watch, the girl in the flow -a-I'm the type of pony every pony, every pony should know -a-Becoming as popular as popular can be -a-Making my mark, making my mark in high society -a-I'm the belle of the ball, the star of the show, yeah -a-I'm the type of pony every pony, every pony should know -a-See how they hang on every word that I speak -a-My approving glance is what they all seek -a-I'm the creme de la creme, not just another Jane Doe -a-I'm the type of pony every pony should know -a-At home, at the opera, on a fancy yacht -a-Becoming the talk, the talk of all of Canterlot -a-I'm the creme de la creme, not just another Jane Doe, yeah -a-I'm the type of pony every pony, every pony should know -a-Because I'm the type of pony -a-Yes, I'm the type of pony |2|9
20|The Heart Carol|The fire of friendship lives in our hearts -a-As long as it burns, we cannot drift apart -a-Though quarrels arise, their numbers are few -a-Laughter and singing will see us through  -a-We are a circle of pony friends |2|11
21|Happy Monthiversary|Happy month-i-versary to you and you today! -a- I-can't-believe-you're-already -a-month-old. Time-sure-flies-doesn't-it-wow. Seems-like-only yesterday-you-were-born. |2|13
22|Piggy Dance|First you jiggle your tail! Oink oink oink! -a-Then you wriggle your snout! Oink oink oink! -a-Then you wiggle your rump! Oink oink oink! |2|13
23|The Flim Flam Brothers|Well, lookie what we got here, brother of mine, it's the same in every town -a-Ponies with thirsty throats, dry tongues, and not a drop of cider to be found -a-Maybe they're not aware that there's really no need for this teary despair -a-That the key that they need to solve this sad cider shortage you and I will share -a-Well you've got opportunity -a-In this very community -a-He's Flim -a-He's Flam -a-We're the world famous Flim Flam Brothers -a-Traveling salesponies nonpareil -a-Nonpareil, and that's exactly the reason why, you see -a-No pony else in this whole place will give you such a chance to be where you need to be -a-And that's a new world, with tons of cider -a-Fresh squeezed and ready for drinking -a-More cider than you could drink in all your days of thinking -a-So take this opportunity -a-In this very community -a-He's Flim -a-He's Flam -a-We're the world famous Flim Flam Brothers -a-Traveling salesponies -a-Nonpareil -a-I suppose by now you're wondering 'bout our peculiar mode of transport -a-I say, our mode of locomotion -a-And I suppose by now you're wondering, where is this promised cider? -a-Any horse can make a claim and any pony can do the same -a-But my brother and I have something most unique and superb -a-Unseen at any time in this big new world -a-And that's opportunity -a-Folks, it's the one and only, the biggest and the best -a-The unbelievable -a-Unimpeachable -a-Indispensable -a-I-can't-believe-able -a-Flim Flam Brothers' Super Speedy Cider Squeezy 6000 -a-Oh, we got opportunity -a-In this very community -a-Please, Flim, please, Flam, help us out of this jam -a-With your Flim Flam Brothers' Super Speedy Cider Squeezy 6000 -a-Opportunity, in our community -a-Ready, Flim? -a-Ready, Flam? -a-Let's bing bang zam! -a-Cider, cider, cider, cider...  -a-The fun begins! -a-Feel free to take a sneak peek! -a-Now wait, you fellers, hold it! -a-You went and over-sold it! -a-I guarantee that what you have there won't compare -a-For the very most important ingredient -a-Can't be added or done expedient -a-And it's quality, friends, Apple Acres' quality and care! -a-Well, Granny, I'm glad you brought that up, my dear, I say I'm glad you brought that up -a-You see that we are very picky when it comes to cider if you'll kindly try a cup -a-Yes, sir, yes, ma'am, this great machine lets just the very best -a- So whaddaya say then, Apples? -a- Care to step into the modern world -a-And put the Super Speedy Cider Squeezy 6000 to the test? -a-Cider, cider, cider, cider...  -a-We're saying you've got -a-Opportunity -a-In this very community -a-He's Flim, he's Flam -a-We're the world famous Flim Flam Brothers -a-Traveling salesponies nonpareil! |2|15
24|The Perfect Stallion|Cheerilee is sweet and kind, -a-She's the best teacher we could hope for. -a-The perfect stallion you and I must find -a-One to really make her heart so-o-oar. -a-But... -a-This one's too young, -a-This one's too old. -a-He clearly has a terrible cold. -a-This guy's too silly. -a-He's way too uptight. -a-Well nothing's wrong with this one, -a-He seems alright... -a-How 'bout this one? -a-He's much too flashy. -a-He might do! -a-If he weren't so splashy! -a-Too short. -a-Too tall. -a-Too clean. -a-Too smelly. -a-Too strangely obsessed with tubs of jelly. -a-I don't think that we're mistaken, -a-It seems all the good ones are taken. -a-I really feel that at this rate, -a-We'll never find the perfect date. -a-Don't wanna quit and give up hope! -a-Oh please, oh please oh please say— -a-We did it girls, -a-We've found the one! |2|17
25|Smile|My name is Pinkie Pie -a-And I am here to say -a-I'm gonna make you smile and I will brighten up your day -a-It doesn't matter now -a-If you are sad or blue -a-'Cause cheering up my friends is just what Pinkie's here to do -a-'Cause I love to make you smile, smile, smile -a-Yes I do -a-It fills my heart with sunshine all the while -a-Yes it does -a-'Cause all I really need's a smile, smile, smile -a-From these happy friends of mine -a-I like to see you grin -a-I love to see you beam -a-The corners of your mouth turned up is always Pinkie's dream -a-But if you're kind of worried -a-And your face has made a frown -a-I'll work real hard and do my best to turn that sad frown upside down -a-'Cause I love to make you grin, grin, grin -a-Yes I do -a-Bust it out from ear to ear let it begin -a-Just give me a joyful grin, grin, grin -a-And you fill me with good cheer -a-It's true some days are dark and lonely -a-And maybe you feel sad -a-But Pinkie will be there to show you that it isn't that bad -a-There's one thing that makes me happy and makes my whole life worthwhile -a-And that's when I talk to my friends and get them to smile -a-I really am so happy -a-Your smile fills me with glee -a-I give a smile I get a smile -a-And that's so special to me -a-'Cause I love to see you beam, beam, beam -a-Yes I do -a-Tell me what more can I say to make you see -a-That I do -a-It makes me happy when you beam, beam, beam -a-Yes it always makes my day -a-Come on everypony smile, smile, smile -a-Fill my heart up with sunshine, sunshine -a-All I really need's a smile, smile, smile -a-From these happy friends of mine -a-Come on everypony smile, smile, smile -a-Fill my heart up with sunshine, sunshine -a-All I really need's a smile, smile, smile -a-From these happy friends of mine -a-Yes the perfect gift for me -a-Is a smile as wide as a mile -a-To make me happy as can be -a-Come on everypony smile, smile, smile -a-Fill my heart up with sunshine, sunshine -a-All I really need's a smile, smile, smile -a-From these happy friends of -a-Smile, smile, smile, smile, smile -a-Come on and smile |2|18
26|Cranky Doodle Donkey|You're a Cranky Doodle Donkey guy. -a-A Cranky Doodle Donkey. -a-I never met you but you're my new friend |2|18
27|Welcome Song|Welcome welcome welcome -a-A fine welcome to you -a-Welcome welcome welcome -a-I say how do you do? -a-Welcome welcome welcome -a-I say hip hip hurray -a-Welcome welcome welcome |2|18
28|Cranky Doodle Joy|He had a Cranky Doodle sweetheart -a-She's his cranky doodle joy -a-I helped the Cranky Doodle boy, yeah! |2|18
29|BBBFF|When I was just a filly, I found it rather silly -a-To see how many other ponies I could meet -a-I had my books to read, didn't know that I would ever need -a-Other ponies to make my life complete -a-But there was one colt that I cared for -a-I knew he would be there for me -a-My big brother, best friend forever! -a-Like two peas in a pod, we did everything together -a-He taught me how to fly a kite (Best friend forever!) -a-We never had a single fight (We did everything together!) -a-We shared our hopes, we shared our dreams -a-I miss him more than I realized -a-It seems... -a-Your big brother, best friend forever -a-Like two peas in a pod, you did everything together -a-And though he's, oh, so far away -a-I hoped that he would stay -a-My big brother best friend -a-Forever... -a-Forever... -a-He was my big brother, best friend -a-Forever... -a-And now, we'll never do anything |2|25
30|This day aria|This day is going to be perfect -a-The kind of day of which I've dreamed since I was small -a-Everypony will gather 'round -a-Say I look lovely in my gown -a-What they don't know is that I have fooled them all! -a-This day was going to be perfect -a-The kind of day of which I've dreamed since I was small -a-But instead of having cake -a-With all my friends to celebrate -a-My wedding bells, they may not ring for me at all… -a-I could care less about the dress -a-I won't partake in any cake -a-Vows, well I'll be lying when I say -a-That through any kind of weather -a-I'll want us to be together -a-The truth is I don't care for him at all -a-No I do not love the groom -a-In my heart there is no room -a-But I still want him to be all mine -a-We must escape before it's too late -a-Find a way to save the day -a-Hope, I'll be lying if I say -a-"I don't fear that I may lose him -a-To one who wants to use him -a-Not care for, love, and cherish him each day" -a-For I oh so love the groom -a-All my thoughts he does consume -a-Oh, Shining Armor, I'll be there very soon -a-Finally the moment has arrived -a-For me to be one lucky bride -a-Oh, the wedding we won't make -a-He'll end up marrying a fake |2|26
31|Love Is In Bloom|Love is in bloom -a-A beautiful bride, a handsome groom, -a-Two hearts becoming one -a-A bond that cannot be undone because -a-Love is in bloom -a-A beautiful bride, a handsome groom -a-I said love is in bloom -a-You're starting a life and making room -a-For us  -a-Love is in bloom -a-A beautiful bride, a handsome groom -a-I said love is in bloom -a-You're starting a life and making room |2|26
32|The Failure Song|I was prepared to do my best -a-Thought I could handle any test -a-For I can do so many tricks -a-But I wasn't prepared for this -a-Levitation would have been a breeze -a-Facts and figures I recite with ease -a-I could ace a quiz on friendship's bliss -a-But I wasn't prepared for this -a-Will I fail, or will I pass? -a-I can't be sure... -a-She can't be sure... -a-My mind is sharp, my skills intact -a-My heart is pure... -a-Her heart is pure... -a-Oh, I've taken my share of licks -a-I've made it through the thin and thick -a-But no I wasn't -a-Oh no, she wasn't -a-Oh no, I wasn't -a-Oh no, she wasn't |3|1
33|The Ballad of the Crystal Empire|Princess Cadance needs our help -a-Her magic will not last forever -a-I think we can do it -a-But we need to work together -a-We have to get this right -a-Yes, we have to make them see -a-We can save the Crystal Ponies with their history -a-It says that they liked jousting -a-They flew a flag of many hues -a-Made sweets of crystal berries -a-They had a petting zoo with tiny ewes -a-Oh, we have to get this right -a-Yes, we have to make them see -a-We can save the Crystal Ponies with their history -a-There was a crystal flugelhorn -a-That every pony liked to play -a-And the Crystal Kingdom anthem -a-Can you learn it in a day? -a-Oh, we have to get this right -a-Yes, we have to make them see |3|1
34|The Success Song|You were prepared to do your best -a-Had what it takes to pass the test -a-All those doubts you can dismiss -a-Turns out you were -a-Prepared for this! -a-You clearly have just what it takes -a-To pass a test with such high stakes -a-We knew for sure you would prevail -a-Since when does Twilight Sparkle ever fail? -a-All those doubts that you can dismiss -a-Trust yourself and you cannot miss -a-Turns out you were -a-Turns out I was -a-Turns out you were -a-Turns out I was -a-Turns out you were |3|2
35|Babs Seed|Yeah, yeah, yeah  -a-Yeah, yeah, yeah -a-Yeah, yeah, yeah, yeah, yeah -a-First, we thought that Babs was so really, really sweet -a-A new friend to have, and it seemed like such a treat -a-She went from Babs, yeah, to a bully and a beast -a-Everywhere we turn, she's just a step ahead -a-Babs Seed, Babs Seed, what we gonna do? -a-Got a bully on our tail -a-Gotta hide, we gotta bail -a-Babs Seed, Babs Seed, if she's after you -a-Gotta run, we gotta flee -a-Gotta hurry, don't you see? -a-Babs Seed, Babs Seed, she's just a bad, bad seed -a-Yeah, yeah, yeah -a-Yeah, yeah, yeah -a-Yeah, yeah, yeah, yeah, yeah -a-Hiding from a bully, we know it isn't right -a-But the Cutie Mark Crusaders, we aren't lookin' for a fight -a-Oh, she'll go home soon, and then we'll have some peace again -a-But for now, we're staying out of her way 'til then -a-Everywhere we turn, she's just a step ahead -a-Babs Seed, Babs Seed, what we gonna do? -a-Got a bully on our tail -a-Gotta hide, we gotta bail -a-Babs Seed, Babs Seed, if she's after you -a-Gotta run, we gotta flee -a-Gotta hurry, don't you see? -a-Why so mean? Why so crude? -a-Why so angry? Why so rude? -a-Can't you be nice? Can't we be friends? -a-Isn't it sad? Is this how it all ends? -a-Babs Seed, Babs Seed, she's just a bad, bad- -a-Babs Seed, Babs Seed, she's just a bad, bad- -a-Babs Seed, Babs Seed- |3|4
36|Raise This Barn|Yee-hoo! -a-Raise this barn, raise this barn -a-One, two, three, four -a-Together, we can raise this barn -a-One, two, three, four -a-Up, up, up, go the beams -a-Hammer those joints, work in teams -a-Turn 'em round quick by the right elbow -a-Grab a new partner, here we go -a-Raise this barn, raise this barn -a-One, two, three, four -a-Together, we can raise this barn -a-One, two, three, four -a-Finish the frame, recycling wood -a-Workin' hard, you're doin' good -a-Turn 'em round quick by the right elbow -a-Grab a new partner, here we go -a-Raise this barn, oh, raise this barn -a-One, two, three, four -a-Together, we can raise this barn -a-One, two, three, four -a-Slats of wood come off the ground -a-Hold 'em up and nail 'em down -a-Turn 'em round quick by the left elbow -a-Grab a new partner, here we go -a-Look at us, we're family -a-Workin' together thankfully -a-We Apples, we are proud to say -a-Stick together the pony way -a-Bow to your partner, circle right -a-Get down if you're scared of heights -a-Forward back and twirl around -a-That barn's gonna be the best in town -a-Raise this barn, raise this barn -a-One, two, three, four -a-Together, we can raise this barn -a-One, two, three, four -a-Take your brushes, young and old -a-Together, paint it, bright and bold -a-Turn 'em round quick by the left elbow -a-Grab a new partner, here we go -a-We raised this barn, we raised this barn -a-Yes, we did -a-Together we sure raised this barn -a-Yes, we did -a-Being together counts the most -a-We all came here from coast to coast -a-All we need to strive to be |3|8
37|Morning in Ponyville|Morning in Ponyville shimmers -a-Morning in Ponyville shines -a-And I know for absolute certain -a-That everything is certainly fine -a- to her office -a-There's the sofa clerk selling some quills -a-My Ponyville is so gentle and still -a-Can things ever go wrong? -a-I don't think that they will -a-Morning in Ponyville shimmers -a-Morning in Ponyville shines -a-And I know for absolute certain |3|13
38|What My Cutie Mark Is Telling Me|These animals don't listen, no, not one little bit -a-They run around out of control and throw their hissy fits -a-It's up to me to stop them, 'cause plainly you can see -a-It's got to be my destiny, and it's what my cutie mark is telling me -a-I try to keep them laughing, put a smile upon their face -a-But no matter what I try, it seems a bit of a disgrace -a-I have to entertain them, it's there for all to see -a-It's got to be my destiny, and it's what my cutie mark is telling me -a-I don't care much for pickin' fruit and plowin' fields ain't such a hoot -a-No matter what I try, I cannot fix this busted water chute! -a-I've got so many chores to do, it's no fun being me -a-But it has to be my destiny, 'cause it's what my cutie mark is telling me -a-Lookie here at what I made, I think that it's a dress -a-I know it doesn't look like much, I'm under some distress -a-Could y'all give me a hand here and help me fix this mess? -a-My destiny is not pretty, but it's what my cutie mark is tellin' me -a-I'm in love with weather patterns, but the others have concerns -a-For I just gave them frostbite over top of their sunburns -a-I have to keep on trying, for everyone can see -a-It's got to be -a-It's got to be -a-My destiny -a-My destiny -a-And it's what my cutie mark -a-It's what my cutie mark |3|13
